time_sec,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,ori_x,ori_y,ori_z,ori_w
0.229456368,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
0.422236149,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
0.620310746,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
1.020273292,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
1.220430684,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
1.329615612,0.0,0.0,0.0,0.0,0.0,0.0,-0.9753810882654074,0.19496917822289114,-0.09294911037474114,-0.04448837014124388
1.420290305,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
1.530710478,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
1.720299072,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
1.921800128,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
2.120639649,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
2.320519398,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
2.522029255,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
2.729533407,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
2.920494051,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
3.321646561,0.0,0.0,0.0,0.0,0.0,0.0,0.27290549302726785,-0.9559745616135681,0.004387816976130329,0.10777743959416584
