time_sec,pos_x,pos_y,pos_z,ori_x,ori_y,ori_z,ori_w,linear_vel_x,angular_vel_z
0.231746946,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
0.533383132,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
0.830985125,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
1.331345851,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
1.532312103,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1.629395603,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
2.030129218,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
2.230525274,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
3.430567896,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
5.730079945,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
6.029952868,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
6.730091516,-0.23021401701603927,0.8181254602871539,0.0,0.0,0.0,-0.9361687443316354,0.3515509666272146,0.0,0.0
7.073107433,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.134388779,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.23063516,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.331071741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.43116911,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.532231633,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.631085693,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.731713544,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.831855362,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
7.931789141,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.03128348,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.131955205,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.231654127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.332088148,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.431756957,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.531886935,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.631648675,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.73204247,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.831010198,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8.931828137,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.031116964,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.13097922,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.231017387,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.332129096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.430879824,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.529894273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.630369927,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.731496741,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.830675901,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9.93718886,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10.031268636,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
